id,eng,frn,ger,spn
33045,Move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33046,Move puts King in check,CE COUP MET LE ROI EN ECHEC,ZUG BRINGT KÖNIG IN SCHACH,MOVIDA PONE REY EN JAQUE
33047,Illeagal Rook move,COUP ILLEGAL DE LA TOUR,UNERLAUBTER ZUG DES TURMS,TORRE: MOVIDA ILEGAL
33048,Your Rook is blocked,VOTRE TOUR EST BLOQUEE,TURM IST BLOCKIERT,SU TORRE ESTA BLOQUEADA
33049,Can't capture your piece,PAS DE CAPTURE DE VOTRE PIECE,IHRE FIGUR - NICHT SCHLAGEN,NO PUEDE TOMAR SU PIEZA
33050,Move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33051,Move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33052,Illegal Bishops move,COUP ILLEGAL DU FOU,UNERLAUBTER ZUG DES LÄUFERS,ALFIL: MOVIDA ILEGAL
33053,Your Bishop is blocked,VOTRE FOU EST BLOQUE,LÄUFER IST BLOCKIERT,SU ALFIL ESTA BLOQUEADO
33054,Can't capture your piece,PAS DE CAPTURE DE VOTRE PIECE,IHRE FIGUR - NICHT SCHLAGEN,NO PUEDE TOMAR SU PIEZA
33055,move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33056,move puts King in check,CE COUP MET LE ROI EN ECHEC,ZUG BRINGT KÖNIG IN SCHACH,MOVIDA PONE SU REY EN JAQUE
33057,Illegal Knight move,COUP ILLEGAL DU CAVALIER,SPRINGER - UNERLAUBTER ZUG,CABALLO: MOVIDA ILEGAL
33058,Can't capture your piece,PAS DE CAPTURE DE VOTRE PIECE,IHRE FIGUR - NICHT SCHLAGEN,NO PUEDE TOMAR SU PIEZA
33059,move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33060,move puts King in check,CE COUP MET LE ROI EN ECHEC,ZUG BRINGT KÖNIG IN SCHACH,MOVIDA PONE SU REY EN JAQUE
33061,Pawns only move forward,LE PION AVANCE VERTICALEMENT,BAUERN ZIEHEN NUR NACH VORNE,PEONES AVANZAN SOLAMENTE
33062,Illegal Pawn move,COUP ILLEGAL DU PION,UNERLAUBTER ZUG DES BAUERN,PEON: MOVIDA ILEGAL
33063,Pawns capture diagonally,LE PION CAPTURE EN DIAGONALE,BAUERN SCHLAGEN DIAGONAL,PEON CAPTURA EN DIAGONAL
33064,Can't capture your piece,PAS DE CAPTURE DE VOTRE PIECE,IHRE FIGUR - NICHT SCHLAGEN,NO PUEDE TOMAR SU PIEZA
33065,Square occupied,CASE OCCUPEE,FELD BESETZT,CASILLA OCUPADA
33066,Square occupied,CASE OCCUPEE,FELD BESETZT,CASILLA OCUPADA
33067,Square occupied,CASE OCCUPEE,FELD BESETZT,CASILLA OCUPADA
33068,Illegal Pawn move,COUP ILLEGAL DU PION,UNERLAUBTER ZUG DES BAUERN,PEON: MOVIDA ILEGAL
33069,move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33070,move leaves you in check,CE COUP VOUS MET EN ECHEC,SCHACH NACH ZUG,MOVIDA LO DEJA EN JAQUE
33071,En Passant illegal,ILLEGAL EN PASSANT,EN PASSANT NICHT ERLAUBT,EN PASSANT ES INVALIDO
33072,Illegal pawn move,COUP ILLEGAL DU PION,UNERLAUBTER ZUG DES BAUERN,PEON: MOVIDA ILEGAL
33073,Pawns capture diagonally,PION CAPTURE EN DIAGONALE,BAUERN SCHLAGEN DIAGONAL,PEON CAPTURA EN DIAGONAL
33074,Pawns capture diagonally,PION CAPTURE EN DIAGONALE,BAUERN SCHLAGEN DIAGONAL,PEON CAPTURA EN DIAGONAL
33075,Pawns capture diagonally,PION CAPTURE EN DIAGONALE,BAUERN SCHLAGEN DIAGONAL,PEON CAPTURA EN DIAGONAL
33076,Illegal long Castle,GRAND ROQUE ILLEGAL,UNERLAUBTE LANGE ROCHADE,ENROQUE LARGO ES INVALIDO
33077,,,,
33078,,,,
33079,,,,
33080,,,,
33081,,,,
33082,,,,
33083,,,,
33084,,,,
33085,,,,
33086,,,,
33087,,,,
